clause_text,clause_type
Capitalized Terms. Capitalized terms used herein without definition shall have the meanings assigned to them in the Indenture.,capitalized-terms
"Capitalized Terms. For all purposes of this Agreement, the following terms shall have the meanings set forth below:",capitalized-terms
Capitalized Terms. All capitalized terms used herein and not otherwise defined in this Coordination Agreement will have the meanings set forth in the Indenture.,capitalized-terms
Capitalized Terms. Capitalized terms used herein but not defined shall have the meanings assigned to them in the Indenture.,capitalized-terms
"Capitalized Terms. From and after the date hereof, the term ""Current Funds"" as used in the Advisory Agreement shall be deemed to include the Fund. Capitalized terms used herein and not otherwise defined shall have the meanings ascribed to them in the Advisory Agreement.",capitalized-terms
Capitalized Terms. Capitalized terms used but not defined herein shall have the respective meanings set forth in the Merger Agreement.,capitalized-terms
Capitalized Terms. Capitalized terms used but not defined in this Appendix A have the meanings given to them in this Indenture. The following capitalized terms have the following meanings:,capitalized-terms
"Capitalized Terms. Capitalized terms used herein and not otherwise defined herein shall have the meanings assigned to them in the Credit Agreement, unless the context shall otherwise require.",capitalized-terms
"Capitalized Terms. Unless otherwise defined in this Supplemental Indenture, capitalized terms used herein without definition shall have the meanings assigned to them in the Indenture.",capitalized-terms
"Capitalized Terms. For purposes of this Agreement, capitalized terms used and not defined herein shall have the respective meanings ascribed to them in the Merger Agreement.",capitalized-terms
Capitalized Terms. All capitalized terms when used herein shall have the same meaning as is given such terms in the Lease unless expressly superseded by the terms of this First Amendment.,capitalized-terms
"Capitalized Terms. Unless otherwise indicated, capitalized terms used in this Agreement are defined in Appendix A to the Sale and Servicing Agreement dated as of the date hereof (as from time to time amended, supplemented or otherwise modified and in effect, the “Sale and Servicing Agreement”) between the Issuer, the Seller, the Servicer, and Wells Fargo Bank, National Association, as Indenture Trustee.",capitalized-terms
Capitalized Terms. Capitalized terms used in this Agreement and not defined herein have the meanings ascribed to such terms in the Merger Agreement.,capitalized-terms
"Capitalized Terms. Except as otherwise provided in this Agreement, whenever used in this Agreement the following words and phrases, unless the context otherwise requires, shall have the following meanings:",capitalized-terms
"Capitalized Terms. All capitalized undefined terms used in this Amendment (including, without limitation, in the introductory paragraph and the statement of purpose hereto) shall have the meanings assigned thereto in the Credit Agreement (as amended by this Amendment).",capitalized-terms
Capitalized Terms. All capitalized terms used herein and not otherwise defined shall have the same meaning herein as in the Credit Agreement.,capitalized-terms
"Capitalized Terms. All capitalized, undefined terms used in this Amendment shall have the meanings assigned thereto in the Rights Agreement.",capitalized-terms
"Capitalized Terms. Capitalized terms used herein shall have the meanings specified in the Glossary of Terms in Attachment 1 or the body of this Agreement. Capitalized terms used herein that are not so defined shall have the meanings specified in Appendix 1 of Attachment Z, Section 25.1.2 of Attachment S, or Section 30.1 of Attachment X of the ISO OATT.",capitalized-terms
Capitalized Terms. All capitalized terms used herein but not expressly defined herein shall have the meaning ascribed thereto in the Agreement.,capitalized-terms
Capitalized Terms. Capitalized terms used herein and not otherwise defined herein shall have the meanings assigned to them in the Original Agreement.,capitalized-terms
