clause_text,clause_type
"NOW, THEREFORE the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE the parties agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants herein contained, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE for good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual covenants herein contained, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual agreements herein set forth, the parties hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants and agreements set forth herein, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE the parties hereto hereby agree as follows:",now-therefore
"NOW, THEREFORE the parties hereto, intending to be legally bound, hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants contained herein and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual covenants contained herein and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Company and the Investor hereby agree as follows:",now-therefore
"NOW, THEREFORE. IT IS AGREED:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual covenants contained herein, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the foregoing, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and mutual covenants herein contained, and intending to be legally bound hereby, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE. IN CONSIDERATION of the mutual covenants contained in this Agreement, and for other good and valuable consideration the receipt and adequacy of which are hereby acknowledged, the Company and each Purchaser agree as follows:",now-therefore
"NOW, THEREFORE the parties hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and mutual covenants herein contained, it is agreed between the parties hereto as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual promises hereinafter set forth, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the covenants contained herein, the Company and Indemnitee do hereby covenant and agree as follows:",now-therefore
"NOW, THEREFORE the Parties agree as follows:",now-therefore
"NOW, THEREFORE. IT IS HEREBY AGREED AS FOLLOWS:",now-therefore
"NOW, THEREFORE in consideration of the promises and mutual covenants herein contained, it is agreed as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants and agreements herein contained, the parties hereto covenant and agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual promises hereinafter set forth, the Trust, the Advisor and the Sub-Advisor agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants contained herein, the parties agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and mutual covenants contained herein, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the foregoing and the mutual agreements contained herein, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the foregoing and for other good and valuable consideration, the receipt of which is hereby acknowledged, the Guaranteeing Subsidiary and the Trustee mutually covenant and agree for the equal and ratable benefit of the Holders of the Notes as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the covenants and agreements contained herein, the parties hereto hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the promises and mutual covenants herein contained, and other good and valuable consideration, the receipt of which is hereby acknowledged, the parties hereto, intending to be legally bound, do hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants and agreements set forth herein, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises, and of the representations, warranties, covenants and agreements contained herein, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and the mutual covenants herein contained, the Company and the Executive hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the foregoing and the mutual covenants and agreements contained herein, and intending to be legally bound hereby, the parties hereto hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual agreements herein set forth, and for other good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, the Seller and the Depositor agree as follows:",now-therefore
"NOW, THEREFORE for good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the representations, covenants and agreements contained herein, and certain other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto, intending to be legally bound, hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the premises and of the mutual covenants and agreements contained herein, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual promises and agreements contained herein, the parties hereby agree as follows:",now-therefore
"NOW, THEREFORE it is agreed as follows:",now-therefore
"NOW, THEREFORE for good and valuable consideration, the parties agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual agreements herein contained, and of other good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, the parties hereto agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants and agreements herein contained and other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the foregoing and the mutual covenants herein contained, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereby agree as follows:",now-therefore
"NOW, THEREFORE in consideration of the mutual covenants hereinafter set forth, the parties agree as follows:",now-therefore
