clause_text,clause_type
"Counterparts. This Agreement may be executed in two or more counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts and by the parties hereto in separate counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute one and the same agreement.",counterparts
"Counterparts. This Agreement may be executed in one or more counterparts, each of which shall be deemed to be an original but all of which together will constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts and each of such counterparts shall for all purposes be deemed to be an original, and all such counterparts shall together constitute but one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be deemed to be an original, but all such counterparts shall together constitute one and the same Agreement.",counterparts
"Counterparts. The parties may sign any number of copies of this Supplemental Indenture. Each signed copy shall be an original, but all of them together represent the same agreement.",counterparts
"Counterparts. This Agreement may be executed in several counterparts, each of which shall be deemed to be an original but all of which together will constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in one or more counterparts, each of which shall be deemed to be an original, and all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This instrument may be executed in any number of counterparts, each of which so executed shall be deemed to be an original, but all such counterparts shall together constitute but one and the same instrument.",counterparts
"Counterparts. This Agreement may be signed in any number of counterparts, each of which shall be an original, with the same effect as if the signatures thereto and hereto were upon the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be an original, but all of which together shall constitute one instrument.",counterparts
"Counterparts. This Agreement may be executed in one or more counterparts, all of which shall be considered one and the same agreement and shall become effective when one or more counterparts have been signed by each of the parties and delivered to the other parties.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be deemed to be an original and all of which together shall be deemed to be one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in two or more counterparts (and by different parties on separate counterparts), each of which shall be an original, but all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, all of which taken together shall constitute one and the same instrument and any of the parties hereto may execute this Agreement by signing any such counterpart.",counterparts
"Counterparts. This Agreement may be executed in one or more counterparts, all of which shall be considered one and the same agreement and shall become effective when one or more counterparts have been signed by each of the parties and delivered to the other party, it being understood that all parties need not sign the same counterpart.",counterparts
"Counterparts. This Agreement may be executed in two or more counterparts, each of which shall be deemed to be an original, but all of which shall constitute one and the same agreement.",counterparts
"Counterparts. This Agreement may be executed in two or more counterparts, each of which will be deemed an original but all of which together will constitute one and the same instrument.",counterparts
"Counterparts. This Agreement may be signed in one or more counterparts, each of which shall constitute an original and all of which together shall constitute one and the same agreement.",counterparts
"Counterparts. This Agreement may be executed by the parties hereto in separate counterparts, each of which when so executed and delivered shall be an original, but all such counterparts shall together constitute but one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed by the parties hereto on any number of counterparts, and all of said counterparts taken together shall be deemed to constitute one and the same instrument.",counterparts
"Counterparts. This Supplemental Indenture may be executed in any number of counterparts, each of which so executed shall be deemed to be an original, but all such counterparts shall together constitute but one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed in one or more counterparts, and by the different parties hereto in separate counterparts, each of which when executed shall be deemed to be an original but all of which taken together shall constitute one and the same agreement.",counterparts
"Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be deemed to be an original and all of which together shall constitute one and the same instrument.",counterparts
"Counterparts. This Indenture may be executed in any number of counterparts, each of which shall be an original; but such counterparts shall together constitute but one and the same instrument.",counterparts
"Counterparts. This Agreement may be executed and delivered (including by facsimile transmission) in one or more counterparts, and by the different parties hereto in separate counterparts, each of which when executed shall be deemed to be an original but all of which taken together shall constitute one and the same agreement.",counterparts
