clause_text,clause_type
"Maintenance of Properties. The Company will cause all properties used or useful in the conduct of its business or the business of any Subsidiary to be maintained and kept in good condition, repair and working order and supplied with all necessary equipment and will cause to be made all necessary repairs, renewals, replacements, betterments and improvements thereof, all as in the judgment of the Company may be necessary so that the business carried on in connection therewith may be properly and advantageously conducted at all times; provided, however, that nothing in this Section shall prevent the Company from discontinuing the operation or maintenance of any of such properties if such discontinuance is, in the judgment of the Company, desirable in the conduct of its business or the business of any Subsidiary and not disadvantageous in any material respect to the Holders.",maintenance-of-properties
"Maintenance of Properties. (a) Maintain, preserve and protect all of its material properties and equipment necessary in the operation of its business in good working order and condition, ordinary wear and tear excepted; and (b) make all necessary repairs thereto and renewals and replacements thereof except where the failure to do so could not reasonably be expected to have a Material Adverse Effect.",maintenance-of-properties
"Maintenance of Properties. (a) Maintain, preserve and protect all of its material properties and equipment necessary in the operation of its business in good working order and condition, ordinary wear and tear excepted; (b) make all necessary repairs thereto and renewals and replacements thereof except where the failure to do so could not reasonably be expected to have a Material Adverse Effect; and (c) use the standard of care typical in the industry in the operation and maintenance of its facilities.",maintenance-of-properties
"Maintenance of Properties. The Company will and will cause each of its Subsidiaries to maintain and keep, or cause to be maintained and kept, their respective properties in good repair, working order and condition (other than ordinary wear and tear), so that the business carried on in connection therewith may be properly conducted at all times, provided that this Section shall not prevent the Company or any Subsidiary from discontinuing the operation and the maintenance of any of its properties if such discontinuance is desirable in the conduct of its business and the Company has concluded that such discontinuance could not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.",maintenance-of-properties
"Maintenance of Properties. Each Loan Party will, and will cause each Subsidiary to, keep and maintain all property material to the conduct of its business in good working order and condition, ordinary wear and tear excepted.",maintenance-of-properties
"Maintenance of Properties. The Borrower will, and will cause each of the Restricted Subsidiaries to, keep and maintain all property material to the conduct of its business in good working order and condition, ordinary wear and tear excepted, except to the extent that the failure to do so could reasonably be expected to have a Material Adverse Effect.",maintenance-of-properties
"Maintenance of Properties. Each Credit Party will, and will cause each of its Subsidiaries to, maintain or cause to be maintained in good repair, working order and condition, ordinary wear and tear excepted, all material properties used or useful in the business of Holdings and its Subsidiaries and from time to time will make or cause to be made all appropriate repairs, renewals and replacements thereof.",maintenance-of-properties
"Maintenance of Properties. (a) Maintain, preserve and protect all of its material properties and equipment necessary in the operation of its business in good working order and condition, ordinary wear and tear excepted.",maintenance-of-properties
"Maintenance of Properties. Except if the failure to do so would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect, maintain, preserve and protect all of its material properties and equipment used in the operation of its business in good working order, repair and condition, ordinary wear and tear excepted and casualty or condemnation excepted.",maintenance-of-properties
"Maintenance of Properties. The Company will cause all material properties owned by the Company or any Restricted Subsidiary or used or held for use in the conduct of its business or the business of any Restricted Subsidiary to be maintained and kept in normal condition, repair and working order and will cause to be made all necessary repairs, renewals, replacements, betterments and improvements thereof, all as in the judgment of the Company may be necessary so that the business carried on in connection therewith may be properly conducted at all times; provided, however, that nothing in this Section shall prevent the Company or any of its Restricted Subsidiaries from discontinuing the maintenance of any of such properties if such discontinuance is, in the judgment of the Company, desirable in the conduct of its business or the business of any Restricted Subsidiary and not adverse in any material respect to the Holders.",maintenance-of-properties
