clause_text,clause_type
"Construction. The parties agree that each of them and/or their respective counsel have reviewed and had an opportunity to revise the Transaction Documents and, therefore, the normal rule of construction to the effect that any ambiguities are to be resolved against the drafting party shall not be employed in the interpretation of the Transaction Documents or any amendments thereto. In addition, each and every reference to share prices and shares of Common Stock in any Transaction Document shall be subject to adjustment for reverse and forward stock splits, stock dividends, stock combinations and other similar transactions of the Common Stock that occur after the date of this Agreement.",construction
"Construction. The parties hereto have participated jointly in the negotiation and drafting of this Agreement. If an ambiguity or question of intent or interpretation arises, this Agreement will be construed as if drafted jointly by the parties hereto and no presumption or burden of proof will arise favoring or disfavoring any party hereto because of the authorship of any provision of this Agreement. The words “include,” “includes,” and “including” will be deemed to be followed by “without limitation.” Pronouns in masculine, feminine, and neuter genders will be construed to include any other gender, and words in the singular form will be construed to include the plural and vice versa, unless the context otherwise requires. The words “this Agreement,” “herein,” “hereof,” “hereby,” “hereunder,” and words of similar import refer to this Agreement as a whole and not to any particular subdivision unless expressly so limited. The parties hereto intend that each representation, warranty, and covenant contained herein will have independent significance. If any party hereto has breached any representation, warranty, or covenant contained herein in any respect, the fact that there exists another representation, warranty or covenant relating to the same subject matter (regardless of the relative levels of specificity) which such party hereto has not breached will not detract from or mitigate the fact that such party hereto is in breach of the first representation, warranty, or covenant.",construction
"Construction. (a) For purposes of this Agreement, whenever the context requires: the singular number shall include the plural, and vice versa; the masculine gender shall include the feminine and neuter genders; the feminine gender shall include the masculine and neuter genders; and the neuter gender shall include masculine and feminine genders.",construction
"Construction. The parties acknowledge that each party and its counsel have reviewed this Agreement and that the normal rule of construction to the effect that any ambiguities are to be resolved against the drafting party shall not be employed in the interpretation of this Agreement or any amendments, schedules or exhibits thereto.",construction
"Construction. The Parties have participated jointly in the negotiation and drafting of this Agreement. In the event an ambiguity or question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the Parties and no presumption or burden of proof shall arise favoring or disfavoring any Party by virtue of the authorship of any of the provisions of this Agreement.",construction
"Construction. The Parties have participated jointly in the negotiation and drafting of this Agreement. In the event an ambiguity or question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the Parties and no presumption or burden of proof shall arise favoring or disfavoring any Party by virtue of the authorship of any of the provisions of this Agreement. Any reference to any federal, state, local, or foreign statute or law shall be deemed also to refer to all rules and regulations promulgated thereunder, unless the context requires otherwise. The word ""including"" shall mean including without limitation.",construction
"Construction. The headings herein are for convenience only, do not constitute a part of this Agreement and shall not be deemed to limit or affect any of the provisions hereof. The language used in this Agreement will be deemed to be the language chosen by the parties to express their mutual intent, and no rules of strict construction will be applied against any party.",construction
"Construction. The parties agree that each of them and/or their respective counsel has reviewed and had an opportunity to revise the Transaction Documents and, therefore, the normal rule of construction to the effect that any ambiguities are to be resolved against the drafting party shall not be employed in the interpretation of the Transaction Documents or any amendments hereto.",construction
"Construction. The language used in this Agreement will be deemed to be the language chosen by the parties to express their mutual intent, and no rule of strict construction will be applied against any party.",construction
"Construction. The Parties have participated jointly in the negotiation and drafting of this Agreement. In the event an ambiguity or question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the Parties and no presumption or burden of proof shall arise favoring or disfavoring any Party by virtue of the authorship of any of the provisions of this Agreement. Any reference to any federal, state, local, or foreign statute or law shall be deemed also to refer to all rules and regulations promulgated thereunder, unless the context requires otherwise. The word ""including"" shall mean including without limitation. The Parties intend that each representation, warranty, and covenant contained herein shall have independent significance. If any Party has breached any representation, warranty, or covenant contained herein in any respect, the fact that there exists another representation, warranty, or covenant relating to the same subject matter (regardless of the relative levels of specificity) which the Party has not breached shall not detract from or mitigate the fact that the Party is in breach of the first representation, warranty, or covenant.",construction
"Construction. (a) Unless a contrary indication appears, any reference in this Agreement to:",construction
"Construction. The Agent, the Borrower and each Lender acknowledge that each of them has had the benefit of legal counsel of its own choice and has been afforded an opportunity to review this Agreement and the other Loan Documents with its legal counsel and that this Agreement and the other Loan Documents shall be construed as if jointly drafted by the Agent, the Borrower and each Lender.",construction
"Construction. Each covenant contained herein shall be construed (absent express provision to the contrary) as being independent of each other covenant contained herein, so that compliance with any one covenant shall not (absent such an express contrary provision) be deemed to excuse compliance with any other covenant. Where any provision herein refers to action to be taken by any Person, or which such Person is prohibited from taking, such provision shall be applicable whether such action is taken directly or indirectly by such Person.",construction
"Construction. The headings herein are for convenience only, do not constitute a part of this Agreement and shall not be deemed to limit or affect any of the provisions hereof. The language used in this Agreement will be deemed to be the language chosen by the parties to express their mutual intent, and no rules of strict construction will be applied against any party. This Agreement shall be construed as if drafted jointly by the parties, and no presumption or burden of proof shall arise favoring or disfavoring any party by virtue of the authorship of any provisions of this Agreement or any of the Transaction Documents.",construction
"Construction. This Agreement is the result of negotiations between and has been reviewed by each of the parties hereto and their respective counsel, if any; accordingly, this Agreement shall be deemed to be the product of all of the parties hereto, and no ambiguity shall be construed in favor of or against any one of the parties hereto.",construction
"Construction. Unless the context requires otherwise: (a) any pronoun used in this Agreement shall include the corresponding masculine, feminine or neuter forms, and the singular form of nouns, pronouns and verbs shall include the plural and vice versa; (b) references to Articles and Sections refer to Articles and Sections of this Agreement; (c) the terms “include,” “includes,” “including” or words of like import shall be deemed to be followed by the words “without limitation”; and (d) the terms “hereof,” “herein” or “hereunder” refer to this Agreement as a whole and not to any particular provision of this Agreement. The table of contents and headings contained in this Agreement are for reference purposes only, and shall not affect in any way the meaning or interpretation of this Agreement.",construction
