clause_text,clause_type
"Complete Agreement. This Agreement, those documents expressly referred to herein and other documents of even date herewith embody the complete agreement and understanding among the parties and supersede and preempt any prior understandings, agreements or representations by or among the parties, written or oral, which may have related to the subject matter hereof in any way.",complete-agreement
"Complete Agreement. This Agreement embodies the complete agreement and understanding among the parties and supersedes and preempts any prior understandings, agreements or representations by or among the parties, written or oral, which may have related to the subject matter hereof in any way.",complete-agreement
"Complete Agreement. THIS AMENDMENT, THE CREDIT AGREEMENT, AND THE OTHER LOAN DOCUMENTS REPRESENT THE FINAL AGREEMENT BETWEEN THE PARTIES AND MAY NOT BE CONTRADICTED BY EVIDENCE OF PRIOR, CONTEMPORANEOUS OR ORAL AGREEMENTS OF THE PARTIES. THERE ARE NO UNWRITTEN ORAL AGREEMENTS BETWEEN THE PARTIES.",complete-agreement
"Complete Agreement. This Agreement is not a promise of future employment. Employee has no oral representations, understandings or agreements with the Company or any of its officers, directors or representatives covering the same subject matter as this Agreement. This written Agreement is the final, complete and exclusive statement and expression of the agreement between the Company and Employee and of all the terms of this Agreement, and it cannot be varied, contradicted or supplemented by evidence of any prior or contemporaneous oral or written agreements. This written Agreement may not be later modified except by a further writing signed by a duly authorized officer of the Company and Employee, and no term of this Agreement may be waived except by writing signed by the party waiving the benefit of such term.",complete-agreement
Complete Agreement. This Agreement embodies the complete agreement among the parties and may not be varied or terminated except by a written agreement conforming to the provisions of Section 11.01. All prior negotiations or representations of the parties are merged into this Agreement and shall have no force or effect unless expressly stated herein.,complete-agreement
Complete Agreement. This Agreement constitutes the entire agreement and understanding of the parties hereto with respect to the subject matter hereof and supersedes all prior agreements and understandings relating to such subject matter.,complete-agreement
"Complete Agreement. This Agreement and the Related Agreements and other exhibits hereto, the Disclosure Schedule and the other documents referred to herein contain the complete agreement between the parties and supersede any prior understandings, agreements or representations by or between the parties, written or oral, which may have related to the subject matter hereof in any way.",complete-agreement
"Complete Agreement. This Agreement constitutes the entire agreement between the parties with respect to the matters referred to herein, and no other agreement, verbal or otherwise, shall be binding as between the parties unless in writing and signed by the party against whom enforcement is sought.",complete-agreement
"Complete Agreement. This Agreement (together with those agreements and documents expressly referred to herein, for the purposes referred to herein) embody the complete and entire agreement and understanding between the parties with respect to the subject matter hereof, and supersede any and all prior promises, assurances, commitments, agreements, undertakings or representations, whether oral, written, electronic or otherwise, and whether express or implied, which may relate to the subject matter hereof in any way.",complete-agreement
Complete Agreement. This Agreement constitutes the entire agreement between the parties pertaining to the subject matter hereof.,complete-agreement
"Complete Agreement. The parties acknowledge that during the negotiations which resulted in this Agreement, each had the unlimited right and opportunity to make demands and proposals with respect to any subject or matter not removed by law from the area of collective bargaining, and that the understandings and agreements arrived at by the parties, after the exercise of that right and opportunity, are set forth in this Agreement. Therefore, the Company and the Union, for the life of this Agreement, each voluntarily and unqualifiedly waives the right and each agrees that the other shall not be obligated to bargain collectively with respect to any subject or matter referred to or covered in this Agreement, except as provided specifically in Section 2 or 3 of this Article, or with respect to any subject or matter not specifically referred to or covered in this Agreement, even though such subjects or matters may not have been within the knowledge or contemplation of either or both of the parties at the time that they negotiated or signed this Agreement.",complete-agreement
"Complete Agreement. This Agreement constitutes the entire agreement between Executive and the Company and is the complete, final, and exclusive embodiment of their agreement with regard to this subject matter, and will supersede all prior agreements, understandings, discussions, negotiations and undertakings, whether written or oral, between the parties with respect to the subject matter hereof, including without limitation, the Prior Agreement. This Agreement is entered into without reliance on any promise or representation other than those expressly contained herein or therein, and cannot be modified or amended except in a writing signed by an officer of the Company and Executive.",complete-agreement
"Complete Agreement. This Agreement and the Certificate constitute the complete and exclusive statement of agreement among the Members with respect to its subject matter. This Agreement and the Certificate replace and supersede all prior agreements by and among the Members or any of them. This Agreement and the Certificate supersede all prior written and oral statements, and no representation, statement, or condition or warranty not contained in this Agreement or the Certificate will be binding on the Members or have any force or effect whatsoever.",complete-agreement
"Complete Agreement. This Agreement, together with the Proprietary Agreement, which is incorporated by reference into this Agreement, constitutes the entire agreement between Employee and the Company with regard to the subject matter of this Agreement. This Agreement is the complete, final, and exclusive embodiment of their agreement with regard to this subject matter and supersedes any prior oral discussions or written communications and agreements. This Agreement is entered into without reliance on any promise or representation other than those expressly contained in this Agreement, and it cannot be modified or amended except in writing signed by Employee and an authorized officer of the Board. The Proprietary Agreement governs other aspects of the relationship between the parties, and has or may have provisions that survive termination of Employee’s employment under this Agreement, may be amended or superseded by the parties without regard to this Agreement and is enforceable according to its terms without regard to the enforcement provision of this Agreement.",complete-agreement
"Complete Agreement. This Agreement, including the Exhibits and Disclosure Schedules hereto and the documents and other writings referred to herein or therein or delivered pursuant hereto, and the Confidentiality Agreement, referred to in Section 12.1, contains the entire agreement and understanding of the parties with respect to its subject matter. There are no restrictions, agreements, promises, warranties, covenants or undertakings between the parties other than those expressly set forth herein or therein. This Agreement supersedes all prior agreements and understandings (other than the Confidentiality Agreements referred to in Section 12.1 hereof) between the parties, both written and oral, with respect to its subject matter.",complete-agreement
"Complete Agreement. This Agreement with its schedules, together with the Library Agreement and its exhibits, constitutes the entire agreement, both written and oral, between the Parties with respect to the subject matter hereof, and all prior agreements respecting the subject matter hereof, either written or oral, express or implied, shall be abrogated, canceled, and are null and void and of no effect. No amendment or change hereof or addition hereto shall be effective or binding on either of the Parties hereto unless reduced to writing and executed by the respective duly authorized representatives of Unity and Ascentage.",complete-agreement
"Complete Agreement. This Agreement, including Exhibit A, constitutes the entire agreement between Executive and the Company and it is the complete, final, and exclusive embodiment of their agreement with regard to this subject matter. It is entered into without reliance on any promise or representation other than those expressly contained herein.",complete-agreement
"Complete Agreement. This Agreement contains the full and complete understanding of the parties and supersedes all prior representations, promises, statements, arrangements, agreements, warranties and understandings between the parties with respect to the subject matter hereof, whether oral or written, express or implied.",complete-agreement
"Complete Agreement. This Agreement, those documents expressly referred to herein and other documents of even date herewith embody the complete agreement and understanding among the parties and supersede and preempt any prior understandings, agreements or representations by or among the parties, written or oral, which may have related to the subject matter hereof in any way. Notwithstanding the foregoing, this Agreement does not supersede and preempt that certain IRA and Executive Unit Purchase Agreement, dated as of May 5, 1998, by and between Executive and the Company.",complete-agreement
"Complete Agreement. This Agreement constitutes the complete agreement and sets forth the entire understanding and agreement of the parties as to the subject matter of this Agreement and supersedes all prior discussions and understandings in respect to the subject of this Agreement, whether written or oral.",complete-agreement
"Complete Agreement. This Agreement, the Exhibits and Schedules hereto and the agreements and other documents referred to herein shall constitute the entire agreement between the parties hereto with respect to the subject matter hereof and shall supersede all previous negotiations, commitments and writings with respect to such subject matter.",complete-agreement
"Complete Agreement. This Agreement embodies with respect to the subject matter hereof the complete agreement and understanding among the parties and supersedes and preempts with respect to the subject matter hereof any prior understandings, agreements or representations by or among the parties, written or oral, which may have related to the subject matter hereof in any way.",complete-agreement
"Complete Agreement. Except as otherwise provided herein, this Agreement and the Advisory Agreement constitute the entire agreement among the parties with respect to the matters referred to herein, and no other agreement, verbal or otherwise, shall be binding upon the parties hereto.",complete-agreement
