clause_text,clause_type
"Transfer. Subject to Section 6(b)(ii), neither this Agreement nor any interest or obligation in or under this Agreement may be transferred (whether by way of security or otherwise) by either party without the prior written consent of the other party, except that:—",transfer
Transfer. Any direct or indirect transfer or sale of any Ownership Interest in a Residual Certificate.,transfer
"Transfer. The Registrar shall register the transfer of ADRs (and of the ADSs represented thereby) on the books maintained for such purpose and the Depositary shall (x) cancel such ADRs and execute new ADRs evidencing the same aggregate number of ADSs as those evidenced by the ADRs canceled by the Depositary, (y) cause the Registrar to countersign such new ADRs and (z) Deliver such new ADRs to or upon the order of the person entitled thereto, if each of the following conditions has been satisfied: (i) the ADRs have been duly Delivered by the Holder (or by a duly authorized attorney of the Holder) to the Depositary at its Principal Office for the purpose of effecting a transfer thereof, (ii) the surrendered ADRs have been properly endorsed or are accompanied by proper instruments of transfer (including signature guarantees in accordance with standard securities industry practice), (iii) the surrendered ADRs have been duly stamped (if required by the laws of the State of New York or of the United States), and (iv) all applicable fees and charges of, and expenses incurred by, the Depositary and all applicable taxes and governmental charges (as are set forth in Section 5.9 and Exhibit B hereto) have been paid, subject, however, in each case, to the terms and conditions of the applicable ADRs, of the Deposit Agreement and of applicable law, in each case as in effect at the time thereof.",transfer
"Transfer. Subject to compliance with Section 9, transfer of this Warrant and all rights hereunder, in whole or in part, shall be registered on the books of the Company to be maintained for such purpose, upon surrender of this Warrant at the principal office of the Company referred to in Section 2.1 or the office or agency designated by the Company pursuant to Section 12, together with a written assignment of this Warrant substantially in the form of Exhibit B hereto duly executed by Holder or its agent or attorney and funds sufficient to pay any transfer taxes payable upon the making of such transfer. Upon such surrender and, if required, such payment, the Company shall, subject to Section 9, execute and deliver a new Warrant or Warrants in the name of the assignee or assignees and in the denomination specified in such instrument of assignment, and shall issue to the assignor a new Warrant evidencing the portion of this Warrant not so assigned, and this Warrant shall promptly be canceled. A Warrant, if properly assigned in compliance with Section 9, may be exercised by a new Holder for the purchase of shares of Common Stock without having a new warrant issued.",transfer
"Transfer. Any direct or indirect transfer, sale, pledge, hypothecation or other form of assignment of any Ownership Interest in a Certificate. Transferee: Any Person who is acquiring by Transfer any Ownership Interest in a Certificate. Transferor: Any Person who is disposing by Transfer of any Ownership Interest in a Certificate.",transfer
"Transfer. At such time as the Company has more than one Member, no Member shall transfer (whether by sale, assignment, gift, pledge, hypothecation, mortgage, exchange or otherwise) all or any part of his, her or its limited liability company interest in the Company to any other person without the prior written consent of each of the other Members; provided, however, that this Section 11 shall not restrict the ability of any Member to transfer (at any time) all or a portion of its limited liability company interest in the Company to another Member. Upon the transfer of a Member’s limited liability company interest, the Manager shall provide notice of such transfer to each of the other Members and shall amend Exhibit B hereto to reflect the transfer.",transfer
"Transfer. All Shares of each particular Series or Class shall be transferable, but transfers of Shares of a particular Series or Class will be recorded on the Share transfer records of the Trust applicable to that Series or Class only at such times as Shareholders shall have the right to require the Trust to redeem Shares of that Series or Class and at such other times as may be permitted by the Trustees.",transfer
"Transfer. A. No part of the interest of a Partner shall be subject to the claims of any creditor, to any spouse for alimony or support, or to legal process, and may not be voluntarily or involuntarily alienated or encumbered except as may be specifically provided for in this Agreement.",transfer
Transfer. This Agreement may not be transferred or assigned without the prior written approval of Novell.,transfer
Transfer. Each Receivable prohibits the sale or transfer of the Financed Vehicle without the consent of the Seller.,transfer
