clause_text,clause_type
"Brokers. No broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of Buyer.",brokers
"Brokers. Except pursuant to this Agreement, there is no broker, finder or other party that is entitled to receive from the Company any brokerage or finder’s fee or other fee or commission as a result of any transactions contemplated by this Agreement.",brokers
"Brokers. Landlord and Tenant hereby warrant to each other that they have had no dealings with any real estate broker or agent in connection with the negotiation of this Lease, excepting only the real estate brokers or agents specified in Section 12 of the Summary (the “Brokers”), and that they know of no other real estate broker or agent who is entitled to a commission in connection with this Lease. Each party agrees to indemnify and defend the other party against and hold the other party harmless from any and all claims, demands, losses, liabilities, lawsuits, judgments, costs and expenses (including without limitation reasonable attorneys’ fees) with respect to any leasing commission or equivalent compensation alleged to be owing on account of any dealings with any real estate broker or agent, other than the Brokers, occurring by, through, or under the indemnifying party. The terms of this Section 29.24 shall survive the expiration or earlier termination of the Lease Term.",brokers
"Brokers. No broker, investment banker, financial advisor or other person is entitled to any broker's, finder's, financial advisor's or other similar fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of Parent or Sub.",brokers
"Brokers. No broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the transactions contemplated by this Agreement or any other Transaction Document based upon arrangements made by or on behalf of Buyer.",brokers
"Brokers. No broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the Transactions based upon arrangements made by or on behalf of Parent or Merger Sub.",brokers
"Brokers. No broker, investment banker, financial advisor or other person, other than Credit Suisse First Boston Corporation, the fees and expenses of which will be paid by Parent, is entitled to any broker's, finder's, financial advisor's or other similar fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of Parent or Sub.",brokers
"Brokers. No broker, finder, or investment banker is entitled to any brokerage, finder's, or other fee or commission in connection with the Merger or the transactions contemplated by this Agreement based upon arrangements made by or on behalf of the Company.",brokers
"Brokers. Except as described in the Registration Statement, the Time of Sale Prospectus and the Prospectus, there is no broker, finder or other party that is entitled to receive from the Company any brokerage or finder’s fee or other fee or commission as a result of any transactions contemplated by this Agreement.",brokers
"Brokers. All negotiations relative to this Agreement and the transactions contemplated hereby have been carried out by Purchaser directly with Sellers without the intervention of any Person on behalf of Purchaser in such manner as to give rise to any valid claim by any Person against Sellers for a finder's fee, brokerage commission or similar payment.",brokers
"Brokers. No broker or finder brought about the obtaining, making or closing of the Loans or transactions contemplated by the Loan Documents, and no Loan Party or Affiliate thereof has any obligation to any Person in respect of any finder’s or brokerage fees in connection therewith.",brokers
"Brokers. No broker, finder or investment banker (other than the Financial Advisor, a true and correct copy of whose engagement agreement has been provided to Parent) is entitled to any brokerage, finder's or other fee or commission or expense reimbursement in connection with the transactions contemplated by this Agreement based upon arrangements made by and on behalf of the Company or any of its affiliates.",brokers
"Brokers. No broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of Parent or Merger Sub.",brokers
"Brokers. Landlord and Tenant each represents and warrants that it has not dealt with any broker, agent or other person (collectively, “Broker”) in connection with the transaction reflected in this First Amendment and that no Broker brought about this transaction. Landlord and Tenant each hereby agrees to indemnify and hold the other harmless from and against any claims by any Broker claiming a commission or other form of compensation by virtue of having dealt with Tenant or Landlord, as applicable, with regard to this First Amendment.",brokers
"Brokers. Except as disclosed in Section 3.16 of the Disclosure Letter, no broker, finder or investment banker is entitled to any brokerage, finder's or other fee or commission in connection with the transactions contemplated by this Agreement, based upon arrangements made by or on behalf of Parent, Rodeo, Inc., Seller, the Company or the Company Subsidiaries and no such fees or commissions are payable by Buyer.",brokers
"Brokers. Except as set forth on Part 3.7 of the Disclosure Letter, no broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the transactions contemplated by this Agreement or any other Transactional Agreement based upon arrangements made by or on behalf of Purchaser.",brokers
"Brokers. Except for Macquarie Securities (USA), Inc., whose fees will be paid by the Seller, no broker, finder or investment banker is entitled to any brokerage, finder's or other fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of any Seller, the Company or any of the Subsidiaries.",brokers
"Brokers. No broker, finder or investment banker (other than Morgan Stanley & Co. Incorporated) is entitled to any brokerage, finder's or other fee or commission in connection with the transactions contemplated by this Agreement based upon arrangements made by and on behalf of Parent or Purchaser.",brokers
"Brokers. No broker, finder or investment banker is entitled to any brokerage, finder’s or other fee or commission in connection with the transactions contemplated by this Agreement and the Ancillary Agreements based upon arrangements made by or on behalf of the Purchaser.",brokers
"Brokers. Except as set forth in Schedule 4.8, no broker, finder or investment banker is entitled to any brokerage, finder's or other fee or Commission in connection with the transactions contemplated by this Agreement based upon arrangements made by or on behalf of the Investor.",brokers
